StationName,StationCode,ArrivalTime,DepartureTime,Distance,TrainNumber
PURI,PURI,21:45:00,21:45:00,0,12801
KHURDA ROAD,KUR,22:25:00,22:30:00,43,12801
BHUBANESWAR,BBS,22:55:00,23:00:00,62,12801
CUTTACK JN.,CTC,23:30:00,23:35:00,89,12801
JAJPUR KEONJ,JJKR,00:28:00,00:30:00,161,12801
BHADRAKH,BHC,01:28:00,01:30:00,205,12801
BALASORE,BLS,02:15:00,02:20:00,267,12801
KHARAGPUR,KGP,03:55:00,04:20:00,388,12801
GHATSILA,GTS,05:35:00,05:36:00,486,12801
TATANAGAR JN,TATA,06:30:00,06:40:00,525,12801
CHANDIL JN.,CNI,07:40:00,07:42:00,562,12801
PURULIA JN.,PRR,08:23:00,08:25:00,615,12801
BOKARO STEEL,BKSC,09:35:00,09:40:00,677,12801
CHANDRAPURA,CRP,10:26:00,10:28:00,692,12801
NSC BOSE J G,GMO,10:50:00,11:00:00,708,12801
PARASNATH,PNME,11:19:00,11:21:00,726,12801
HAZARIBAGH R,HZD,11:40:00,11:42:00,753,12801
KODERMA,KQR,12:20:00,12:22:00,802,12801
PAHARPUR,PRP,12:57:00,12:59:00,846,12801
GAYA JN.,GAYA,13:57:00,14:02:00,878,12801
ANUGRAH NARA,AUBR,14:46:00,14:48:00,947,12801
DEHRI-ON-SON,DOS,15:02:00,15:04:00,963,12801
SASARAM,SSM,15:18:00,15:20:00,981,12801
BHABUA ROAD,BBU,15:51:00,15:53:00,1028,12801
MUGHAL SARAI,MGS,17:05:00,17:20:00,1082,12801
CHUNAR JN.,CAR,17:58:00,18:00:00,1114,12801
MIRZAPUR,MZP,18:22:00,18:24:00,1145,12801
ALLAHABAD JN,ALD,19:40:00,19:50:00,1235,12801
FATEHPUR,FTP,20:58:00,21:00:00,1351,12801
KANPUR CENTR,CNB,22:05:00,22:10:00,1429,12801
GHAZIABAD JN,GZB,03:30:00,03:32:00,1834,12801
NEW DELHI,NDLS,04:25:00,04:25:00,1860,12801
